Session Payscale Custom Channels,Total users_current,Key events_current,Engagement rate_current,User key event rate_current,Week_Start_current,Total users_previous,Key events_previous,Engagement rate_previous,User key event rate_previous,Week_Start_previous,Users_Change,Users_Change_Pct,Key_Events_Change,Key_Events_Change_Pct,Engagement_Change,Week_Comparison,Current_Week,Previous_Week
AI Search,695,17,0.7951372754193649,0.03336134453781513,2025-09-08,678,17,0.7993636050495091,0.022789115646258504,2025-09-01,17,2.5073746312684366,0,0.0,-0.004226329630144243,Week 2 vs Week 1,2025-09-08,2025-09-01
Direct,25770,541,0.724482287059479,0.016627377173940937,2025-09-08,24380,327,0.7691693035039348,0.013429739594179759,2025-09-01,1390,5.701394585726005,214,65.4434250764526,-0.04468701644445572,Week 2 vs Week 1,2025-09-08,2025-09-01
Earned Social,665,42,0.8299842617760801,0.046470578844227325,2025-09-08,632,28,0.8510751622820588,0.041812023954881095,2025-09-01,33,5.2215189873417724,14,50.0,-0.021090900505978727,Week 2 vs Week 1,2025-09-08,2025-09-01
Email,14920,819,0.8518631932989105,0.046983634592033675,2025-09-08,18025,1598,0.8690477738112468,0.04476215944795497,2025-09-01,-3105,-17.22607489597781,-779,-48.74843554443054,-0.01718458051233629,Week 2 vs Week 1,2025-09-08,2025-09-01
Organic Search,14499,373,0.8530019987071531,0.02559606274864008,2025-09-08,12675,352,0.8654633313439278,0.024786972304601952,2025-09-01,1824,14.390532544378697,21,5.965909090909091,-0.012461332636774736,Week 2 vs Week 1,2025-09-08,2025-09-01
Paid Search,25199,1301,0.8903125092571706,0.028919923891129958,2025-09-08,11916,448,0.8698055053339155,0.030231903252309688,2025-09-01,13283,111.47197045988587,853,190.40178571428572,0.020507003923255107,Week 2 vs Week 1,2025-09-08,2025-09-01
Paid Social,96,2,0.5560052910052911,0.044444444444444446,2025-09-08,115,4,0.3443084693084693,0.059829059829059825,2025-09-01,-19,-16.52173913043478,-2,-50.0,0.21169682169682175,Week 2 vs Week 1,2025-09-08,2025-09-01
Referrals - Internal Platforms,719,16,0.8981340441736481,0.00722929435800723,2025-09-08,372,2,0.8681409739036857,0.006779661016949152,2025-09-01,347,93.27956989247312,14,700.0,0.02999307026996234,Week 2 vs Week 1,2025-09-08,2025-09-01
Referrals - Other,1554,62,0.7903088382452114,0.032010791915579005,2025-09-08,1207,23,0.824552220137586,0.012585365853658537,2025-09-01,347,28.74896437448219,39,169.56521739130434,-0.034243381892374636,Week 2 vs Week 1,2025-09-08,2025-09-01
Referrals - Public Relations,179,25,0.7830729166666667,0.07864583333333333,2025-09-08,125,25,0.7431692527198145,0.07374710183698947,2025-09-01,54,43.2,0,0.0,0.039903663946852186,Week 2 vs Week 1,2025-09-08,2025-09-01
Source/Medium Other,838,24,0.8733444126987234,0.016650883838383836,2025-09-08,796,11,0.8632088751781917,0.006977513227513227,2025-09-01,42,5.276381909547738,13,118.18181818181819,0.010135537520531757,Week 2 vs Week 1,2025-09-08,2025-09-01
AI Search,744,25,0.7198856478457873,0.04343720491029273,2025-09-15,695,17,0.7951372754193649,0.03336134453781513,2025-09-08,49,7.0503597122302155,8,47.05882352941176,-0.0752516275735775,Week 3 vs Week 2,2025-09-15,2025-09-08
Direct,23526,383,0.8208007190041309,0.011275938271584799,2025-09-15,25770,541,0.724482287059479,0.016627377173940937,2025-09-08,-2244,-8.707799767171128,-158,-29.20517560073937,0.09631843194465184,Week 3 vs Week 2,2025-09-15,2025-09-08
Earned Social,544,5,0.7536815347471715,0.011430678466076694,2025-09-15,665,42,0.8299842617760801,0.046470578844227325,2025-09-08,-121,-18.195488721804512,-37,-88.09523809523809,-0.07630272702890861,Week 3 vs Week 2,2025-09-15,2025-09-08
Email,11441,515,0.8117527812745595,0.05118882919378341,2025-09-15,14920,819,0.8518631932989105,0.046983634592033675,2025-09-08,-3479,-23.31769436997319,-304,-37.11843711843712,-0.04011041202435095,Week 3 vs Week 2,2025-09-15,2025-09-08
Organic Search,12741,248,0.8302226321685907,0.027391495702371652,2025-09-15,14499,373,0.8530019987071531,0.02559606274864008,2025-09-08,-1758,-12.124974136147321,-125,-33.51206434316354,-0.022779366538562384,Week 3 vs Week 2,2025-09-15,2025-09-08
