Page path and screen class,Total users_current,Key events_current,Engagement rate_current,User key event rate_current,Week_Start_current,Total users_previous,Key events_previous,Engagement rate_previous,User key event rate_previous,Week_Start_previous,Users_Change,Users_Change_Pct,Key_Events_Change,Key_Events_Change_Pct,Engagement_Change,Week_Comparison,Current_Week,Previous_Week
/,16719.0,1.0,0.7120527508031401,1.9753554652158154e-06,2025-09-08 00:00:00,17309.0,0.0,0.7042393735986237,0.0,2025-09-01 00:00:00,-590.0,-3.4086313478537176,1.0,100.0,0.00781337720451647,Week 2 vs Week 1,2025-09-08,2025-09-01
/about,28.0,0.0,0.7478991596638656,0.0,2025-09-08 00:00:00,27.0,0.0,0.7083333333333333,0.0,2025-09-01 00:00:00,1.0,3.7037037037037033,0.0,0.0,0.039565826330532294,Week 2 vs Week 1,2025-09-08,2025-09-01
/about.asp,0.0,0.0,0.0,0.0,0,2.0,0.0,0.0,0.0,2025-09-01 00:00:00,-2.0,-100.0,0.0,0.0,0.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/,14.0,0.0,0.6666666666666666,0.0,2025-09-08 00:00:00,16.0,0.0,0.8181818181818182,0.0,2025-09-01 00:00:00,-2.0,-12.5,0.0,0.0,-0.1515151515151516,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/2020/09/the-rewards-of-celebrating-pride,1.0,0.0,0.0,0.0,2025-09-08 00:00:00,0.0,0.0,0.0,0.0,0,1.0,100.0,0.0,0.0,0.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/board-of-directors,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,2025-09-01 00:00:00,-1.0,-100.0,0.0,0.0,-1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/careers-at-payscale/,1.0,0.0,0.0,0.0,2025-09-08 00:00:00,2.0,0.0,0.0,0.0,2025-09-01 00:00:00,-1.0,-50.0,0.0,0.0,0.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/contact,4.0,0.0,0.8333333333333334,0.0,2025-09-08 00:00:00,5.0,0.0,0.8333333333333334,0.0,2025-09-01 00:00:00,-1.0,-20.0,0.0,0.0,0.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/contact-us,769.0,293.0,0.8229985266535677,0.22181803454761434,2025-09-08 00:00:00,246.0,34.0,0.8059412653950468,0.07825758897187468,2025-09-01 00:00:00,523.0,212.60162601626016,259.0,761.7647058823529,0.017057261258520806,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/contact-us/,13.0,2.0,0.8125,0.125,2025-09-08 00:00:00,17.0,0.0,0.6944444444444445,0.0,2025-09-01 00:00:00,-4.0,-23.52941176470588,2.0,100.0,0.11805555555555547,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/cookies-and-similar-technologies,59.0,0.0,0.9411764705882353,0.0,2025-09-08 00:00:00,28.0,0.0,0.8888888888888888,0.0,2025-09-01 00:00:00,31.0,110.71428571428572,0.0,0.0,0.05228758169934644,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/cookies-and-similar-technologies/,5.0,0.0,0.8,0.0,2025-09-08 00:00:00,3.0,0.0,1.0,0.0,2025-09-01 00:00:00,2.0,66.66666666666666,0.0,0.0,-0.19999999999999996,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/data-addendum,1.0,0.0,1.0,0.0,2025-09-08 00:00:00,1.0,0.0,1.0,0.0,2025-09-01 00:00:00,0.0,0.0,0.0,0.0,0.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/data-addendum/,1.0,0.0,0.0,0.0,2025-09-08 00:00:00,1.0,0.0,1.0,0.0,2025-09-01 00:00:00,0.0,0.0,0.0,0.0,-1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/data-protection/payscales-sub-processors,10.0,0.0,0.4444444444444444,0.0,2025-09-08 00:00:00,7.0,0.0,0.4333333333333333,0.0,2025-09-01 00:00:00,3.0,42.857142857142854,0.0,0.0,0.011111111111111127,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/data-protection/payscales-sub-processors/,13.0,0.0,0.6018518518518517,0.0,2025-09-08 00:00:00,14.0,0.0,0.7142857142857143,0.0,2025-09-01 00:00:00,-1.0,-7.142857142857142,0.0,0.0,-0.11243386243386255,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/data-protection/payscales-sub-processors/which,0.0,0.0,0.0,0.0,0,2.0,0.0,1.0,0.0,2025-09-01 00:00:00,-2.0,-100.0,0.0,0.0,-1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/deib,1.0,0.0,1.0,0.0,2025-09-08 00:00:00,2.0,0.0,0.3333333333333333,0.0,2025-09-01 00:00:00,-1.0,-50.0,0.0,0.0,0.6666666666666667,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/documentation,75.0,0.0,0.7424074074074074,0.0,2025-09-08 00:00:00,63.0,0.0,0.7297619047619047,0.0,2025-09-01 00:00:00,12.0,19.047619047619047,0.0,0.0,0.012645502645502682,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/documentation/,47.0,0.0,0.8207108680792892,0.0,2025-09-08 00:00:00,49.0,0.0,0.7861111111111111,0.0,2025-09-01 00:00:00,-2.0,-4.081632653061225,0.0,0.0,0.034599756968178075,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/documentation3,1.0,0.0,0.0,0.0,2025-09-08 00:00:00,0.0,0.0,0.0,0.0,0,1.0,100.0,0.0,0.0,0.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/esg,109.0,0.0,0.7625000000000001,0.0,2025-09-08 00:00:00,39.0,0.0,0.6354166666666666,0.0,2025-09-01 00:00:00,70.0,179.4871794871795,0.0,0.0,0.12708333333333344,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/esg/,0.0,0.0,0.0,0.0,0,1.0,0.0,1.0,0.0,2025-09-01 00:00:00,-1.0,-100.0,0.0,0.0,-1.0,Week 2 vs Week 1,2025-09-08,2025-09-01
/about/home/,6.0,0.0,0.0,0.0,2025-09-08 00:00:00,4.0,0.0,0.75,0.0,2025-09-01 00:00:00,2.0,50.0,0.0,0.0,-0.75,Week 2 vs Week 1,2025-09-08,2025-09-01
